PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
43,1,1,"Felddeg, Mr. Jtpnb",male,,1,0,PC 97856,29.228289109639164,F,S
44,0,3,"Ahgecor, Mr. Dmdjw",male,35.370923376810715,0,0,698598,3.4155407676577445,,S
45,0,2,"Mlickja, Mr. Motwn",male,47.937903096620744,2,0,888637,34.45680487492477,,S
46,1,3,"Gidbtei, Mr. Mnabb",male,27.358762571709573,0,0,415410,1.3723919254036745,,S
47,0,2,"Jlnhprw, Mrs. Ltijt",female,26.24566106490668,0,0,767702,8.375603497251577,,S
48,0,3,"Fnfnllh, Mr. Lsgej",male,,1,0,818550,17.833978915298854,,S
49,1,3,"Rtrgawn, Mr. Whimw",male,5.25288863149823,1,1,706151,4.37763688299798,,C
50,0,1,"Tnnoeeb, Mr. Bnaeg",male,,0,1,PC 31200,206.70399913085433,,C
51,0,3,"Swrpsga, Mr. Ijsdh",male,,2,1,238260,10.52774316180022,D,S
52,1,3,"Fcfmgda, Miss. Sdwwd",female,23.95292784180465,1,2,488377,3.660331560256586,,S
53,1,3,"Memjcml, Mrs. Emtdf",female,35.24105741790538,2,0,364952,12.01903008684008,,S
54,0,3,"Iwibtpc, Mr. Crias",male,20.567359215235786,0,0,375995,3.843617740675274,D,S
55,0,3,"Fsffmng, Mr. Mcjsf",male,26.163642121130195,1,0,574106,21.34977927472146,,S
56,0,3,"Bdsmobj, Mr. Lacsh",male,23.26854468835912,8,2,296000,10.994370701924797,E,S
57,0,1,"Pbpwpfm, Miss. Lelab",female,21.619752891615228,1,3,PC 25058,77.49060135481722,,S
58,1,1,"Wfrfrer, Miss. Jehfe",female,49.87986848266047,0,0,PC 24620,18.575114920880335,,S
59,0,1,"Ciosjjc, Dr. Mgfnp",male,46.9392500483228,0,0,PC 62755,180.1138836959381,,S
60,0,2,"Cdbnebo, Mr. Egcdr",male,,0,0,687283,35.33681351020396,G,S
61,1,2,"Nairnmm, Mrs. Jwatn",female,9.507427784307332,0,0,589982,14.073162333785579,G,S
62,0,2,"Ssfkcpe, Rev. Gbhfc",male,34.596122221582796,4,0,660969,27.779236032034856,,S
63,1,3,"Dprbpdg, Miss. Bopgp",female,10.989589416247648,0,0,950941,14.171682073440124,,S
64,0,2,"Dneghot, Mr. Sgbti",male,47.81532602179026,0,0,576555,32.11228051524923,,C
65,0,2,"Psahaat, Mr. Wdsnf",male,48.582951426572095,2,0,167703,17.832806732487658,,C
66,0,3,"Hjjsibc, Mr. Jslra",male,2.479375231807161,0,1,823040,4.001788265121991,,S
67,1,1,"Spbklef, Dr. Ltotl",male,38.530066810125305,0,0,PC 77703,46.37276052760068,,S
68,0,3,"Neaepee, Mr. Jdilj",male,35.56342094780537,0,1,863416,13.17297110202691,,S
69,1,1,"Tmwcpgl, Mrs. Fsjok",female,38.05324306572462,0,0,PC 52136,54.42998136135854,,S
70,0,3,"Jthtdjc, Mr. Hrahn",male,23.992872941527896,0,1,322452,4.4295959062985535,D,S
71,1,3,"Prfcwdh, Mr. Dwwmr",male,28.998880438269147,4,1,613795,9.329627727010214,,S
72,1,1,"Rmnkjgj, Mr. Ambjt",male,,0,0,PC 98456,61.756958437583265,,S
73,1,1,"Cohfikb, Dr. Ncmbr",male,49.78139678855663,0,0,PC 93086,59.93559725025708,,S
74,0,3,"Doktefm, Rev. Tsesl",male,27.31984389705359,0,0,791703,10.095611852291622,,Q
75,0,3,"Jkikbmh, Mr. Ndwlo",male,20.59515512821993,0,0,479673,13.968785063892751,,C
76,0,3,"Fopdril, Mrs. Hafmi",female,,0,1,380398,2.034727297562831,,S
77,1,3,"Wecbhjo, Mr. Wlfli",male,54.81963944303985,0,0,423417,7.839545140180519,,S
78,1,1,"Idbtaal, Mr. Jkine",male,36.83752955110118,0,1,PC 69611,58.964096943869386,A,S
79,0,2,"Hwohjtc, Mr. Nkgbo",male,27.22590115810707,1,0,217574,19.39640206140901,,C
80,0,1,"Hljdpwf, Mrs. Iifhk",female,20.750007382592344,0,0,PC 70002,52.81049466811967,,S
81,0,3,"Rnbtcbb, Ms. Efrrm",female,42.4963033067719,0,0,637214,5.270871448406848,,Q
82,1,3,"Fiwdetj, Ms. Drfgw",female,7.045610151087978,1,0,854719,16.919245833081305,,S
83,1,2,"Ortmjre, Mr. Aeehw",male,1.0,0,0,557480,16.53037147360882,,C
84,1,1,"Kittiwr, Mr. Dgehh",male,42.64581408561922,0,1,PC 99527,104.02090722473937,,S
85,0,2,"Btmffbe, Mr. Cthef",male,7.060253179398387,0,0,469531,42.969588449926945,G,C
86,0,2,"Cefbher, Mr. Nmhol",male,27.066462858165107,0,1,389707,21.132088750031382,,S
87,0,3,"Boelmrd, Rev. Kdkif",male,38.394956686217505,0,0,265202,17.381235407208848,G,S
88,0,3,"Gtswgil, Mr. Kpkib",male,,0,0,887357,4.290211711207183,D,S
89,0,3,"Rptstda, Mr. Pgegt",male,22.00763078048865,0,3,675883,7.905288442030242,E,C
90,0,3,"Kdnibad, Mr. Dihbf",male,55.01974042162136,0,4,230249,9.34310557947384,,S
91,1,1,"Pkaodsr, Mrs. Idpbp",female,45.68191575179044,0,0,PC 26321,23.08901077067162,F,S
92,1,3,"Brcrllw, Mr. Mwwja",male,29.27460051777355,0,2,267820,7.131991344129885,,S
93,0,3,"Lrsnkba, Mr. Jsfgr",male,8.052468160841734,1,0,795388,22.439079777809805,,S
94,1,3,"Htaeaki, Mrs. Pcwaw",female,26.082191649962795,3,0,378295,2.5571833612661257,,S
95,0,3,"Jwbdlkd, Mr. Mslne",male,18.737118998739646,2,0,176133,5.738968883107752,G,S
96,1,3,"Awdnwwh, Miss. Jfojf",female,31.082529476686737,0,2,134187,8.587740853637383,,S
97,0,3,"Fomskma, Mr. Thmsr",male,,0,0,143835,5.896943810009009,,S
98,0,2,"Ofrwsdi, Mr. Fagdi",male,,0,0,362203,36.355506981262906,,S
99,0,1,"Eosimmm, Miss. Akali",female,57.49461028119602,0,0,PC 95717,106.61930934632201,,S
100,0,1,"Wjjmofw, Mrs. Jgewg",female,54.45396350953669,0,0,PC 37235,34.036525144175734,,S
101,0,1,"Deokjrb, Mrs. Kfabo",female,41.25018329638849,1,0,PC 77114,87.03387224738373,C,S
102,0,3,"Chelngk, Mr. Jwcte",male,4.574455521539342,0,0,800726,9.062685760228568,,S
103,0,2,"Nghgsft, Mr. Hlotp",male,46.3971353240506,0,0,753479,16.353409731756425,C,C
104,0,3,"Ltfkwwj, Mr. Crtof",male,22.663880051704034,8,0,999263,16.012010610144998,,S
105,0,3,"Hgirjch, Mr. Sndlw",male,25.05521304516567,0,0,484033,6.265639525658336,,S
106,1,2,"Wnmdwwk, Miss. Gpskf",female,,0,0,881345,4.826135672377529,,S
107,0,2,"Dsocgfo, Mr. Lsgla",male,23.81214816897722,0,0,705871,25.523104612187655,F,Q
108,1,3,"Kdglmlp, Mrs. Hhamm",female,14.694247264951732,0,0,132160,13.355195755494172,,S
109,0,1,"Cjrtjlg, Mr. Tpdei",male,28.26060071012517,0,1,PC 15277,103.7163774081031,,S
110,0,1,"Wjesipg, Mr. Oglgj",male,22.82132052568745,0,0,PC 11780,108.56793443266524,G,S
111,0,2,"Tjhikbc, Mr. Jegeo",male,,0,0,866809,26.9820397037856,,S
112,1,1,"Skhcnbp, Mrs. Jofan",female,47.997448996081296,1,0,PC 70750,209.72298140972933,,S
113,1,3,"Bkneign, Miss. Njfig",female,25.351017756422504,1,1,681190,12.523735084919606,,S
114,1,3,"Abndifr, Mrs. Pgjfr",female,21.756678867878023,4,2,311270,11.070546042518417,,S
115,1,3,"Cmtafcc, Mrs. Dipcd",female,23.72656581316802,1,0,741137,5.441666242639117,A,C
116,0,3,"Gfarldc, Miss. Rgmkj",female,45.45581207113762,0,0,197052,9.81630538658511,,S
117,0,3,"Mtclthn, Mrs. Pmikw",female,,0,0,752182,6.970274004374176,C,S
118,1,1,"Lbrojcw, Mr. Rfddt",male,42.74591159432945,0,0,PC 42161,25.12190982691529,,S
119,0,3,"Jrlwlpe, Mr. Aasdo",male,23.80036264219716,0,0,537715,4.556313369740759,,S
120,0,3,"Hjgjdki, Mr. Romhb",male,,0,0,787246,2.0705137300653806,,Q
121,1,3,"Kbbbjol, Mrs. Kcstn",female,15.874981602263517,1,1,502016,15.627400542141363,,C
122,0,3,"Lpfbbpb, Mrs. Rsnro",female,23.479167570569125,0,0,149460,9.57288881606504,C,C
123,0,2,"Gsdrkkw, Mr. Gadkw",male,43.05970781864438,0,0,491568,31.23434807987565,,Q
124,1,1,"Ljpchba, Mrs. Nrbsp",female,40.10567613446629,0,0,PC 80975,202.19010994421342,,S
125,0,1,"Atajljb, Miss. Ddice",female,,3,0,PC 79843,90.93912488021476,,S
126,0,2,"Bdcistg, Mr. Nopkl",male,,0,0,640856,38.828905018214186,G,S
127,0,3,"Sefbliw, Mr. Tapkd",male,26.41854389682324,1,0,269164,4.327617210332335,,S
128,0,3,"Mjoossb, Miss. Mrewm",female,16.90971327594128,1,0,686967,4.762652993129771,,C
129,0,1,"Spjlmim, Major. Mkdok",male,43.690684681337856,3,0,PC 75781,14.936623749927051,,S
130,1,3,"Mhebpmt, Mrs. Ktkjo",female,22.449056464137183,1,0,370574,12.387041473606253,A,S
131,1,2,"Gipsmsj, Mr. Fhner",male,42.147561182006996,1,0,566935,13.393253754259542,E,Q
132,1,1,"Cijbgot, Mrs. Stbdk",female,,0,0,PC 48692,129.9808010668943,,S
133,1,1,"Rgksnnf, Mrs. Wndkc",female,28.058864333433874,0,0,PC 40086,76.18508766579387,,C
134,0,2,"Wpjgjgs, Miss. Icrld",female,21.807158808431108,0,0,936103,53.64172443525454,E,S
135,1,3,"Ddnimpa, Mr. Srkar",male,45.21495695220279,0,0,329334,2.3241324843359883,,S
136,1,2,"Eliirtr, Miss. Hsfwf",female,45.733165506589394,4,0,244973,21.117899162248293,,S
137,0,3,"Lbhlphp, Mrs. Lcnrp",female,10.176634062804705,0,0,366051,14.015120341317669,,S
138,0,3,"Fdiiceo, Mr. Ododk",male,11.534161145428033,2,0,329652,17.553680974588925,,S
139,1,2,"Jonnmph, Miss. Bclpe",female,38.51552797916326,0,0,128604,19.290428285540703,,S
140,0,3,"Prbngta, Mr. Rrcar",male,15.20754525526874,0,0,137869,2.34436453377064,,C
141,0,3,"Bsrgtgg, Mr. Jfgfe",male,27.60899890824056,3,2,769897,7.170037304923904,,S
142,0,2,"Twopaol, Mr. Ookbc",male,,0,0,767861,39.30087971905117,,S
143,0,3,"Pebgjeo, Major. Kwkrc",male,28.3663880866631,0,0,878845,4.042697823447343,,S
144,0,2,"Hobrfmh, Mr. Jrwwk",male,38.80567378192349,0,0,743549,18.716911870466095,,C
145,1,2,"Cgldkns, Mrs. Mssrm",female,19.924555537491585,0,0,530587,15.697189187559239,,S
146,0,1,"Kjbprjs, Mr. Epkcp",male,,0,1,PC 46821,130.24997720677285,,S
147,1,3,"Cridbin, Mrs. Cwcfb",female,16.256171028157876,0,0,844092,12.774869766593433,,S
148,0,3,"Nbljatp, Mr. Bbegd",male,,0,2,487736,11.112801899997057,,S
149,0,1,"Shloorb, Mr. Niogd",male,32.9475201280555,1,0,PC 16073,92.20290857043138,,C
150,0,2,"Ogcmjbl, Mr. Gfned",male,,1,0,292077,16.46305952472954,,S
151,1,3,"Bmimntk, Mrs. Lttcf",female,13.436998665639504,0,1,569313,7.6465547801764515,,S
152,0,1,"Nsfgmbo, Mr. Jwpbp",male,19.44286123644631,0,0,PC 28101,512.0,A,C
153,1,1,"Grlpjpw, Rev. Gacws",male,30.289903260262843,1,0,PC 41426,89.435533423076,,S
154,1,3,"Lwdjbij, Miss. Ksfag",female,24.635166801634018,0,0,719165,9.834282269384516,,C
155,0,3,"Gpjopfd, Mr. Ncagd",male,36.1224026290235,0,0,369457,7.234278761493267,,S
156,0,2,"Fahsdee, Mr. Drmbw",male,27.76467684615341,0,0,786133,8.312805353953456,,S
157,0,3,"Orshfki, Mr. Hglkm",male,15.755404735406517,2,0,159668,5.2435450384064035,,S
158,0,3,"Aanilsi, Mrs. Godtm",female,10.238341074902944,0,0,454100,5.1544713533239905,,Q
159,0,1,"Mjhglrl, Mr. Niwba",male,55.71881349819884,0,1,PC 81250,39.9268621966385,,S
160,0,3,"Bwgacwl, Miss. Lknwm",female,38.73711533742757,1,4,739375,11.219300367435759,,S
161,0,2,"Ijjmpwd, Mr. Cweap",male,18.754071446775338,0,0,481595,30.321306453710125,,S
162,1,3,"Ttrsshs, Miss. Emcep",female,25.415496865110953,0,0,716963,9.612679941591576,,S
163,1,3,"Kpwgcpt, Mrs. Tjbrm",female,41.44052393405188,0,0,191634,7.068311976404493,E,S
164,1,3,"Kskitwj, Miss. Bnwjt",female,5.405465938115533,1,0,768942,7.971356227398745,E,S
165,0,1,"Awfbtgk, Mr. Cchfw",male,24.66949670564911,5,2,PC 23760,78.61312879742637,,S
166,0,3,"Oeawief, Miss. Wpegp",female,18.518762876814584,0,0,433935,7.119959565033228,,C
167,0,2,"Rfftwot, Dr. Hfppc",male,25.767364357009413,0,0,444302,38.78888652180528,,S
168,0,1,"Ongrewj, Mr. Ghmol",male,,0,1,PC 45983,16.955606885126723,B,C
169,0,1,"Eggjakg, Mr. Jbfct",male,,2,1,PC 50309,57.37818722369171,E,S
170,0,3,"Ttsfbtf, Miss. Mpmbt",female,12.877331174657739,1,0,129715,5.5426790975516385,F,S
171,1,3,"Srttrdg, Mrs. Ofckh",female,18.985046341198256,0,0,318400,13.89256160051571,,C
172,0,1,"Ssmsrml, Miss. Pfnwb",female,,0,0,PC 98260,248.89447456298697,,C
173,1,3,"Amnorlg, Mr. Gaead",male,28.94719472708918,1,2,759012,4.566825108838752,,S
174,1,1,"Lrfobhn, Mr. Csdcl",male,,0,0,PC 36297,37.83323368571597,A,S
175,1,3,"Ekhmkro, Mrs. Jgkob",female,28.003543722196508,0,0,329030,8.334563164323528,,S
176,0,1,"Ssjrmng, Mr. Ptmdk",male,27.513559406628662,0,0,PC 24028,97.52943599444647,,S
177,0,3,"Bfngbkc, Mr. Btgec",male,20.24624692075214,0,0,244875,6.066141583256601,G,S
178,0,2,"Djksocg, Mr. Ksaod",male,36.26318820219669,0,0,368451,15.663474912736223,,S
179,0,3,"Woajbgn, Mr. Wpphc",male,34.16437259017656,1,2,524541,19.7246256919124,B,S
180,0,1,"Iflwwnw, Mr. Ogmji",male,53.87072860602669,0,1,PC 68616,153.78252217707606,,S
181,0,2,"Jssspwe, Mr. Hhhbn",male,15.158266317387925,0,4,744116,36.84863205106009,,Q
182,0,1,"Rsmrolj, Mr. Ewjrm",male,21.224032599539786,0,0,PC 94798,128.18068911301367,,C
183,0,3,"Afegllg, Mr. Kcjkf",male,23.04128286122912,0,1,560287,11.038713498376005,,S
184,1,3,"Cjkebhn, Miss. Aslgt",female,44.43789525979179,0,1,246004,8.646143112558374,,S
185,0,2,"Sjlwpep, Mr. Faahk",male,,0,0,508965,47.32141304850616,,S
186,0,3,"Ncfersl, Mr. Featj",male,9.110958041609358,1,0,370871,6.120956798399808,,C
187,0,3,"Aojngde, Mrs. Ilwic",female,23.884206500925984,0,0,286478,4.007100527827858,,S
188,0,3,"Pkrefja, Mr. Crmfe",male,,0,1,641620,3.7182788537056686,,S
189,0,3,"Dbejaad, Mrs. Jrcbr",female,10.92076532795284,0,0,588286,6.18426821614197,,S
190,0,1,"Spfjbgr, Mrs. Nsbap",female,41.20007138525056,0,2,PC 20834,148.83143120074328,,S
191,0,1,"Linbdtp, Mr. Lbgrt",male,63.23030731804024,2,0,PC 30325,36.055930587965015,,S
192,0,3,"Flsbtjc, Major. Brthw",male,20.660409716594092,0,0,764573,12.204710912248446,,C
193,0,3,"Kjcilft, Mrs. Lplhe",female,20.111423591418266,3,0,614507,4.575148182433577,,S
194,1,3,"Lthanfn, Mrs. Ndsjs",female,42.656722580185644,0,0,616529,2.5295417412213457,,S
195,0,2,"Gjrnkwf, Mr. Lebtg",male,32.72627288956577,1,0,232475,10.121371804868946,D,S
196,0,2,"Ipsppdg, Mr. Ttrsl",male,42.064585923074,0,2,419115,36.50373183122733,G,S
197,1,3,"Annjtpi, Mr. Wahhj",male,24.29482345267925,0,0,873559,4.421853498931019,,S
198,1,3,"Otnofjn, Miss. Whgkf",female,18.939797795591968,0,0,547246,2.880827141030139,,S
199,0,3,"Nwocaow, Mr. Kchcb",male,25.954056788412373,0,0,697330,9.707986047513781,,S
200,1,3,"Dpaihfw, Mrs. Saicb",female,25.78420715317316,1,0,195195,4.246501564745836,,Q
201,0,3,"Askcmrs, Miss. Hdcof",female,25.957078322790593,1,0,762951,10.195923128248126,,Q
202,0,1,"Llhpibn, Mr. Nggno",male,24.61352363590494,0,0,PC 22996,42.238803329981835,,S
203,0,1,"Sekmcrs, Mr. Peews",male,5.671427762011881,0,1,PC 62485,48.52409788071942,C,C
204,0,3,"Ojorkbs, Mr. Nswbg",male,34.12386250419829,0,0,147830,12.0114574889044,,Q
205,0,3,"Whoatoi, Mr. Irrrp",male,22.842200423439515,1,0,134370,12.060881628857805,,S
206,0,1,"Wreraee, Mr. Mpkmf",male,51.93745456716313,0,0,PC 67572,165.86176090691023,,S
207,0,1,"Wkbhtwr, Mr. Sfbmj",male,,0,0,PC 89008,87.59306201235852,C,S
208,1,3,"Wpoicis, Mrs. Jentd",female,30.008741568807004,0,2,915530,11.792289155049957,,S
209,1,1,"Tcjlsnj, Mr. Diaaw",male,53.22449843644095,2,0,PC 71561,177.3701256065136,,C
210,0,1,"Ipoemwg, Mr. Aohcs",male,50.93826553398264,0,2,PC 12196,145.3043243341682,,S
211,1,3,"Miegadd, Mrs. Pmril",female,14.063976362894843,1,0,766451,46.10985916794346,,S
212,0,3,"Sslalkm, Miss. Dfchr",female,10.375416055901491,1,0,311648,8.541702245865439,,S
213,1,3,"Rcmfnjw, Mrs. Hcrmj",female,37.21223695283631,0,1,820614,3.0082064588499944,,S
214,0,1,"Fgkpllw, Miss. Mjfje",female,45.560339242636914,0,0,PC 59262,59.53789537271877,G,S
215,1,3,"Stlbjln, Mr. Pfiep",male,,1,0,761383,6.133003188981679,,S
216,0,1,"Bblatpg, Mr. Fepnm",male,20.8890346785791,0,0,PC 30543,58.62642539171466,B,S
217,1,2,"Anffdls, Mrs. Gpfsa",female,12.88848946603671,2,1,553245,14.634443881357427,,C
218,0,3,"Wrkmwjm, Miss. Chaso",female,17.5014829868134,0,0,587129,14.561118190218641,,C
219,0,3,"Bfkcakm, Mr. Awppc",male,13.235111082423543,0,0,988603,6.935262152218134,,C
220,0,3,"Wgrhmpj, Mrs. Osoww",female,11.927800040974008,3,0,271481,3.2055234208901116,C,C
221,1,3,"Hldjfgh, Mr. Fwgfr",male,39.54590426260397,0,0,694828,7.84171331144244,,C
222,0,3,"Gocnwdd, Mr. Oamso",male,19.082261730950215,0,5,241035,5.333281713161429,,S
223,0,1,"Sgegfak, Mr. Khbpj",male,44.358564340657736,1,0,PC 23796,27.30451865705611,,S
224,0,2,"Inhdwwf, Mr. Aoaco",male,27.282725704532325,0,0,665260,16.74651574541007,,S
225,0,2,"Ignrhpl, Mr. Sfnkr",male,36.93530599871886,0,1,172613,15.313738195858125,,S
226,0,2,"Rimipdb, Mr. Eenfg",male,25.882053622836587,0,0,719672,43.30825258869319,A,S
227,0,3,"Thfdgnm, Mrs. Tldjp",female,17.942147716146994,1,0,702350,5.343522146097688,,C
228,0,2,"Rfcsema, Mr. Icjow",male,27.58697291706703,2,0,365405,13.864731527167562,,S
229,0,3,"Hokwapn, Mr. Ctwlh",male,11.989479042642252,0,0,379190,7.179225453334321,,S
230,0,3,"Mbkpjoj, Mrs. Dhtcd",female,50.4009618577558,2,0,899829,7.194649232823175,,S
231,1,3,"Pnjmajl, Mrs. Nbjrh",female,14.912710870364275,2,0,553652,6.3124479610775355,,S
232,0,3,"Omrandi, Mrs. Rnete",female,33.99939964781495,0,0,977237,11.76576744024728,,Q
233,1,3,"Cratdrg, Mrs. Mlpds",female,23.256984468940136,0,0,387901,3.223065435764058,,S
234,0,3,"Nkfpopm, Miss. Ephhm",female,21.153285009685774,0,0,770659,4.676142705591381,,S
235,0,1,"Hkldirp, Mr. Snbbc",male,34.668790337140955,0,0,PC 11902,59.23774822154306,,S
236,1,3,"Nnnwsot, Mr. Wgjdn",male,23.81928420698514,1,0,481003,5.281948525851274,D,C
237,0,2,"Cjelgib, Major. Lttwb",male,31.002882216480643,2,2,870376,11.110397304264842,B,S
238,1,1,"Iwecehh, Dr. Flfcj",male,57.414612925836146,0,0,PC 52399,24.704180411183618,E,S
239,1,3,"Jiogsao, Mr. Rkpfk",male,26.43518413860939,0,0,672618,11.151555111320901,A,C
240,1,1,"Tmkbmae, Mrs. Bjwoj",female,34.0817767936757,0,0,PC 56308,84.26542921458886,,S
241,1,3,"Wlhiskw, Mr. Gmmwf",male,45.21218219349977,0,1,876343,2.266392422654971,,S
242,0,3,"Ctirsoa, Mr. Oicrr",male,37.000260581113864,0,2,234918,5.146525334248447,,S
243,0,3,"Nhtapow, Mr. Jhjbt",male,45.36918617604124,0,0,767719,9.94898529113891,E,C
244,1,2,"Kfdgtgn, Ms. Ecrje",female,38.168966468489096,0,0,280448,16.416332191864967,,S
245,1,1,"Dmadbdp, Mr. Rmabs",male,,0,0,PC 78056,102.99984409813577,,S
246,1,3,"Ogdlard, Mrs. Irwbc",female,1.0,1,0,140832,14.306394454633681,,S
247,0,2,"Rgcepgp, Mr. Ijtto",male,,0,0,251170,50.54291536658337,,S
248,0,3,"Gwfkela, Mr. Chsst",male,,0,1,741383,8.652938623599029,,S
249,0,3,"Jbwehmo, Mr. Opckk",male,26.848576932421267,0,0,729275,4.021499617484044,,S
250,1,3,"Jmeijnk, Mrs. Lhtah",female,24.491579073499924,0,0,805322,2.004219708772755,,S
251,0,2,"Grwklbt, Major. Cpwre",male,33.182651860629015,0,0,450816,27.749719299920685,B,S
252,0,2,"Kndhibk, Miss. Ektgf",female,,0,0,922317,8.168489697304661,,S
253,0,3,"Tehkdow, Mr. Gdnal",male,28.07466203298374,2,2,121157,3.267997033323225,E,S
254,0,2,"Fchjekd, Mr. Jphwh",male,45.369042376198095,0,1,541588,25.90238069800053,,S
255,1,1,"Npdaaow, Mrs. Cshlp",female,,1,0,PC 29674,64.445361435429,,S
256,0,3,"Dakebmr, Mrs. Nithb",female,29.424856711323166,4,0,656645,12.970742035092794,,S
257,0,3,"Cawmepp, Miss. Ifwch",female,23.431155199441143,1,0,374722,4.130994212112219,G,Q
258,0,3,"Eetihts, Miss. Mdipa",female,38.259303066771665,0,0,310121,8.03935736532492,,S
259,1,3,"Shatrbt, Miss. Omswe",female,1.0,2,0,530645,5.743905524636577,,S
260,1,1,"Fihilsf, Mrs. Sbfgf",female,51.04771656943405,0,0,PC 56871,34.07871500412637,,S
261,1,3,"Sjhaoco, Miss. Dgswe",female,15.810280239295464,0,1,579742,4.774900459890319,,S
262,0,3,"Hhfcbnh, Miss. Hgisl",female,24.58573840202427,2,0,780859,2.1581344694194935,F,C
263,0,1,"Plbtpme, Miss. Emimi",female,,0,1,PC 16421,331.8625975683927,,S
264,0,3,"Mlfmnge, Mr. Frrrc",male,,0,0,807564,17.139003150806275,,S
